row_num,reference,cargo_type,quantity,quantity_unit,quantity_teu,issue,suggestion
7478,CN2501109-S,FCL,20'GP,1,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
7573,CN2501197-S,FCL,20'GP,1.0,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
7574,CN2501198-S,FCL,20'GP,1.0,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
7661,CN2501270-A,AIR,"3,136?",KG,,"Quantity列含非数字值: ""3,136?""",非法数量值，建议置为 NULL
7691,CN2501297-A,AIR,127.52?,KG,,"Quantity列含非数字值: ""127.52?""",非法数量值，建议置为 NULL
7907,CN2501494-A,AIR,6000 to 12000,KG,,"Quantity列含非数字值: ""6000 to 12000""",非法数量值，建议置为 NULL
7987,CN2502062-S1,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7988,CN2502062-S2,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7989,CN2502062-S3,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7990,CN2502062-S4,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7991,CN2502062-S5,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7992,CN2502062-S6,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7993,CN2502062-S7,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7994,CN2502062-S8,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7995,CN2502062-S9,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
7996,CN2502062-S10,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
8161,CN2502212-S1,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8162,CN2502212-S2,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8163,CN2502212-S3,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8164,CN2502212-S4,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8165,CN2502212-S5,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8166,CN2502212-S6,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8167,CN2502212-S7,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
8223,CN2502263-S,FCL,40'HQ,2,,"Quantity列含非数字值: ""40'HQ""",可能是箱型代码，应移至 Quantity(Unit) 列
8227,CN2502267-S,FCL,20'GP,1,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
8228,CN2502268-S,FCL,20'GP,1,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
8231,CN2502271-S,FCL,40'GP,1,2,"Quantity列含非数字值: ""40'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
8232,CN2502272-S,FCL,40'HQ,1,2,"Quantity列含非数字值: ""40'HQ""",可能是箱型代码，应移至 Quantity(Unit) 列
8549,CN2503064-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
8567,CN2503081-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9040,CN2503532-S,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9219,CN2504015-AS,FCL,15~20,20'GP/40'GP/40'JQ,,"Quantity列含非数字值: ""15~20""",非法数量值，建议置为 NULL
9224,CN2504020-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9299,CN2504093-S,LCL,287KG/2075KG,KG,,"Quantity列含非数字值: ""287KG/2075KG""",非法数量值，建议置为 NULL
9604,CN2504391-AS,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9605,CN2504391-AS1,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9907,CN2505050-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
9989,CN2505131-A,AIR,2505 / 5010,KG,,"Quantity列含非数字值: ""2505 / 5010""",非法数量值，建议置为 NULL
10070,CN2505212-A,AIR,1110 / 2220,KG,,"Quantity列含非数字值: ""1110 / 2220""",非法数量值，建议置为 NULL
10212,CN2505349-AS,AIR,250 / 154,KG,,"Quantity列含非数字值: ""250 / 154""",非法数量值，建议置为 NULL
10213,CN2505349-AS1,LCL,260 / 170,KG,,"Quantity列含非数字值: ""260 / 170""",非法数量值，建议置为 NULL
10281,CN2505416-S1,FCL,20'GP/40'HQ,,,"Quantity列含非数字值: ""20'GP/40'HQ""",非法数量值，建议置为 NULL
10282,CN2505416-S2,FCL,20'GP/40'HQ,,,"Quantity列含非数字值: ""20'GP/40'HQ""",非法数量值，建议置为 NULL
10283,CN2505416-S3,FCL,20'GP/40'HQ,,,"Quantity列含非数字值: ""20'GP/40'HQ""",非法数量值，建议置为 NULL
10286,CN2505419-S1,FCL,20'GP,,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
10287,CN2505419-S2,FCL,20'GP,,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
10400,CN2505531-S,LCL,330KG/640KG,KG,,"Quantity列含非数字值: ""330KG/640KG""",非法数量值，建议置为 NULL
10439,CN2505569-AS,AIR,410 / 1360,KG,,"Quantity列含非数字值: ""410 / 1360""",非法数量值，建议置为 NULL
10440,CN2505569-AS1,LCL,410 / 1360,KG,,"Quantity列含非数字值: ""410 / 1360""",非法数量值，建议置为 NULL
10512,CN2506007-A,AIR,100 ~ 500,KG,,"Quantity列含非数字值: ""100 ~ 500""",非法数量值，建议置为 NULL
10616,CN2506107-A,AIR,75 / 435,KG,,"Quantity列含非数字值: ""75 / 435""",非法数量值，建议置为 NULL
10622,CN2506113-A,AIR,280 / 210,KG,,"Quantity列含非数字值: ""280 / 210""",非法数量值，建议置为 NULL
10737,CN2506224-A,AIR,160 / 230,KG,,"Quantity列含非数字值: ""160 / 230""",非法数量值，建议置为 NULL
10738,CN2506224-A1,AIR,160 / 230,KG,,"Quantity列含非数字值: ""160 / 230""",非法数量值，建议置为 NULL
10960,CN2506436-A,AIR,"502 / 15,060 / 28,614",KG,,"Quantity列含非数字值: ""502 / 15,060 / 28,614""",非法数量值，建议置为 NULL
10961,CN2506436-A1,AIR,"502 / 15,060 / 28,614",KG,,"Quantity列含非数字值: ""502 / 15,060 / 28,614""",非法数量值，建议置为 NULL
10984,CN2506457-A,AIR,715 / 2138,KG,,"Quantity列含非数字值: ""715 / 2138""",非法数量值，建议置为 NULL
11157,CN2506627-A,AIR,1595 / 1635,KG,,"Quantity列含非数字值: ""1595 / 1635""",非法数量值，建议置为 NULL
