CSV原始POD值,运输类型,出现次数,对应Reference Number（前5个）,建议操作：请提供正确的Air Port代码
BOM,Air Port,2,CN2504147-A; CN2504624-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CCU,Air Port,2,CN2504321-A; CN2504353-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CPH,Air Port,2,CN2505510-A; CN2506413-A,请填写正确的Air Port代码（如 IATA 3字母代码）
PRG,Air Port,2,CN2505612-A; CN2601177-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Black Point Power Station,Air Port,2,CN2506386-AS; CN2506386-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
DAC,Air Port,2,CN2507034-A; CN2601752-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Guangning County,Air Port,2,CN2507244-A; CN2508088-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Lishui city,Air Port,2,CN2507693-A; CN2509108-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Qidong city,Air Port,2,CN2511041-A; CN2511706-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Kowloon, HK",Air Port,2,CN2511391-AS1; CN2512468-A,请填写正确的Air Port代码（如 IATA 3字母代码）
201108 Shanghai,Air Port,2,CN2512591-A; CN2602001-A,请填写正确的Air Port代码（如 IATA 3字母代码）
201812 Shanghai,Air Port,2,CN2512593-A; CN2601373-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CTA,Air Port,2,CN2602137-A; CN2602137-A1,请填写正确的Air Port代码（如 IATA 3字母代码）
KWUN TONG,Air Port,1,CN2501142-A,请填写正确的Air Port代码（如 IATA 3字母代码）
DFW,Air Port,1,CN2501155-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Tianchang,Air Port,1,CN2501158-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Qidong City,Air Port,1,CN2501160-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shatin,Air Port,1,CN2501245-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Hui Zhongbeili,Air Port,1,CN2501263-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Tsim Sha Tsui,Air Port,1,CN2501311-A,请填写正确的Air Port代码（如 IATA 3字母代码）
KOWLOON HKG,Air Port,1,CN2501312-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Zhangzou,Air Port,1,CN2501365-A,请填写正确的Air Port代码（如 IATA 3字母代码）
200131 Shanghai,Air Port,1,CN2501413-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Clear Water Bay.Hong Kong,Air Port,1,CN2501419-A,请填写正确的Air Port代码（如 IATA 3字母代码）
571126 Haikou,Air Port,1,CN2501439-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Hongqiao Airport,Air Port,1,CN2502011-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Chaoyang District 100027,Air Port,1,CN2502014-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"TUEN MUN,HK",Air Port,1,CN2502115-A,请填写正确的Air Port代码（如 IATA 3字母代码）
215000 Suzhou,Air Port,1,CN2502126-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Shatin, NT Hong Kong",Air Port,1,CN2502148-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Suizhou City, Hubei Province",Air Port,1,CN2502201-A,请填写正确的Air Port代码（如 IATA 3字母代码）
510850 Guangzhou,Air Port,1,CN2502221-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Boluo,Hui zhou City",Air Port,1,CN2502350-A,请填写正确的Air Port代码（如 IATA 3字母代码）
317599 Wenling,Air Port,1,CN2502412-A,请填写正确的Air Port代码（如 IATA 3字母代码）
311215 HANGZHOU,Air Port,1,CN2502425-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Weihai City,Air Port,1,CN2503035-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Hangzhou 310018,Air Port,1,CN2503037-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Shiqiaozi Town, Zhucheng City",Air Port,1,CN2503084-A,请填写正确的Air Port代码（如 IATA 3字母代码）
17180 PERIGNY,Air Port,1,CN2503138-A,请填写正确的Air Port代码（如 IATA 3字母代码）
201108 SHANGHAI,Air Port,1,CN2503333-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"TS2 1TT, UK",Air Port,1,CN2503335-A,请填写正确的Air Port代码（如 IATA 3字母代码）
519085 ZHUHAI,Air Port,1,CN2503498-A,请填写正确的Air Port代码（如 IATA 3字母代码）
110141 SHENYANG,Air Port,1,CN2503515-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ANHUI 239323,Air Port,1,CN2503552-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Fos,Air Port,1,CN2503559-A,请填写正确的Air Port代码（如 IATA 3字母代码）
213033 Changzhou,Air Port,1,CN2503574-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Tianjin city,Air Port,1,CN2503592-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Wuxi City,Air Port,1,CN2503624-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Binhai, Tianjin",Air Port,1,CN2503628-A,请填写正确的Air Port代码（如 IATA 3字母代码）
510530 Guangzhou,Air Port,1,CN2503685-A,请填写正确的Air Port代码（如 IATA 3字母代码）
200131 Beijing,Air Port,1,CN2504005-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Jordan, Kowloon",Air Port,1,CN2504012-A,请填写正确的Air Port代码（如 IATA 3字母代码）
QINGDAO LIUTING INDUSTRIAL ZONE,Air Port,1,CN2504034-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Bengbu city,Air Port,1,CN2504095-A,请填写正确的Air Port代码（如 IATA 3字母代码）
200245 Shanghai,Air Port,1,CN2504132-A,请填写正确的Air Port代码（如 IATA 3字母代码）
430078 WUHAN,Air Port,1,CN2504138-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Jiangsu, 215434",Air Port,1,CN2504152-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Handan City,Heibe Province",Air Port,1,CN2504243-A,请填写正确的Air Port代码（如 IATA 3字母代码）
518103 Shenzhen,Air Port,1,CN2504296-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shanghai 201812,Air Port,1,CN2504303-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Anhui city,Air Port,1,CN2504323-A,请填写正确的Air Port代码（如 IATA 3字母代码）
518104 Shenzhen,Air Port,1,CN2504336-A,请填写正确的Air Port代码（如 IATA 3字母代码）
215400 SUZHOU,Air Port,1,CN2504362-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shanghai 201413,Air Port,1,CN2504366-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shanghai 201808,Air Port,1,CN2504478-A,请填写正确的Air Port代码（如 IATA 3字母代码）
BEIJING 100012,Air Port,1,CN2504481-A,请填写正确的Air Port代码（如 IATA 3字母代码）
100028 Beijing,Air Port,1,CN2504502-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MLE,Air Port,1,CN2505059-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Suzhou 215434,Air Port,1,CN2505066-A,请填写正确的Air Port代码（如 IATA 3字母代码）
WDH,Air Port,1,CN2505114-A,请填写正确的Air Port代码（如 IATA 3字母代码）
317607 Yuhuan,Air Port,1,CN2505170-A,请填写正确的Air Port代码（如 IATA 3字母代码）
QIDONG 226251,Air Port,1,CN2505173-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Bolton BL4,Air Port,1,CN2505349-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
Jiangsu 215300,Air Port,1,CN2505387-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MAO,Air Port,1,CN2505399-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Haikou 571126,Air Port,1,CN2505418-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shanghai City,Air Port,1,CN2505484-A,请填写正确的Air Port代码（如 IATA 3字母代码）
116102 DALIAN,Air Port,1,CN2505537-A,请填写正确的Air Port代码（如 IATA 3字母代码）
YUNTAI,Air Port,1,CN2505619-A,请填写正确的Air Port代码（如 IATA 3字母代码）
TLV,Air Port,1,CN2506044-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CWB,Air Port,1,CN2506076-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Suzhou Jiangsu, 215434",Air Port,1,CN2506081-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"zhuji city, zhejiang",Air Port,1,CN2506083-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Zhaoqing City,Air Port,1,CN2506092-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Kennedy Town,HK",Air Port,1,CN2506193-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Felixstoew,Air Port,1,CN2506215-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
"528437, Zhongshan city",Air Port,1,CN2506261-A,请填写正确的Air Port代码（如 IATA 3字母代码）
213149 Jiangsu,Air Port,1,CN2506280-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shanghai 200436,Air Port,1,CN2506441-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"362343, Nan An city",Air Port,1,CN2506512-A,请填写正确的Air Port代码（如 IATA 3字母代码）
JINAN CITY,Air Port,1,CN2506608-A,请填写正确的Air Port代码（如 IATA 3字母代码）
301700 TIANJIN,Air Port,1,CN2507083-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Rotterdam(Amsterdam),Air Port,1,CN2507216-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
519060 Zhuhai,Air Port,1,CN2507247-A,请填写正确的Air Port代码（如 IATA 3字母代码）
TSING YI HONG KONG,Air Port,1,CN2507416-A,请填写正确的Air Port代码（如 IATA 3字母代码）
999077 HK,Air Port,1,CN2507495-A,请填写正确的Air Port代码（如 IATA 3字母代码）
100043 Beijing,Air Port,1,CN2507674-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CKY,Air Port,1,CN2508058-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Bao'an, shenzhen city",Air Port,1,CN2508388-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Hung Hom, Kowloon,HK",Air Port,1,CN2508513-A,请填写正确的Air Port代码（如 IATA 3字母代码）
WEIFANG CITY,Air Port,1,CN2508545-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"Tuen Mun, N.T.HK",Air Port,1,CN2508557-A,请填写正确的Air Port代码（如 IATA 3字母代码）
PNR,Air Port,1,CN2509054-A,请填写正确的Air Port代码（如 IATA 3字母代码）
226236 JIANGSU,Air Port,1,CN2509064-A,请填写正确的Air Port代码（如 IATA 3字母代码）
201108 Shanghai.,Air Port,1,CN2509066-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Anhui 239323,Air Port,1,CN2509160-A,请填写正确的Air Port代码（如 IATA 3字母代码）
