row_num,reference,cargo_ready_date,handling
210,CN2401201-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
211,CN2401202-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
212,CN2401203-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
214,CN2401205-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
215,CN2401206-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
218,CN2401209-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
227,CN2401213-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
228,CN2401214-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
229,CN2401215-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
237,CN2401223-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
240,CN2401226-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
241,CN2401227-A1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
242,CN2401227-A2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
243,CN2401228-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
244,CN2401229-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
246,CN2401231-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
247,CN2401232-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
248,CN2401233-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
249,CN2401234-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
250,CN2401235-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
251,CN2401236-A1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
252,CN2401237-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
253,CN2401238-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
