row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
6925,CN2412135-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6951,CN2412158-S,20GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6955,CN2412162-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7001,CN2412199-S,20GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7048,CN2412239-S3,40'HQ + 20'GP,2.0,3,"40HQ,20GP","[('40HQ', 1), ('20GP', 1)]",exact
7116,CN2412300-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7198,CN2412377-S,40'OT/40'GP,6.0,12,"40OT,40GP","[('40OT', 3), ('40GP', 3)]",equal
7213,CN2412392-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7252,CN2412431-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7262,CN2412440-S,20'GP/40/GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
7287,CN2412465-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7296,CN2412474-S1,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7297,CN2412474-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7304,CN2412481-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7329,CN2412502-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7340,CN2412513-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7402,CN2501043-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7414,CN2501053-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7444,CN2501076-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
7480,CN2501111-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7481,CN2501111-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7482,CN2501111-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7517,CN2501143-S2,40'HQ/40'OT,4.0,8,"40HQ,40OT","[('40HQ', 2), ('40OT', 2)]",equal
7556,CN2501180-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7587,CN2501206-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7588,CN2501206-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7590,CN2501208-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7591,CN2501208-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7592,CN2501208-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7606,CN2501218-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7609,CN2501221-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
7642,CN2501254-S1,20'GP/40'GP/40'HQ,1.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7643,CN2501254-S2,20'GP/40'GP/40'HQ,1.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7644,CN2501254-S3,20'GP/40'GP/40'HQ,1.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7645,CN2501254-S4,20'GP/40'GP/40'HQ,1.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7677,CN2501285-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7678,CN2501285-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7754,CN2501354-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7779,CN2501378-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7785,CN2501384-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7831,CN2501427-S,20'GP/40'GP/40'HQ,3.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7835,CN2501430-S,20'GP/40'GP/40'HQ,1.0,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
7839,CN2501434-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7840,CN2501434-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7841,CN2501434-S3,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7842,CN2501434-S4,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7843,CN2501435-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7844,CN2501435-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7845,CN2501435-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
7846,CN2501436-S,20'GP/40'GP/40'HQ,1.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 0)]",equal
7912,CN2502002-S,20'GP/40'GP/40'HQ,2.0,3,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 1)]",exact
7914,CN2502004-S,20'GP/40'GP/40'HQ,2.0,3,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 1)]",exact
7921,CN2502010-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
7937,CN2502025-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7975,CN2502055-S1,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7976,CN2502055-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7977,CN2502055-S3,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
7997,CN2502063-S,40'HQ+20'GP,2.0,3,"40HQ,20GP","[('40HQ', 1), ('20GP', 1)]",exact
8065,CN2502125-S,20'GP/40'GP/40'HQ,1.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 0)]",equal
8074,CN2502134-S,20'GP/40'GP,11.0,21,"20GP,40GP","[('20GP', 1), ('40GP', 10)]",exact
8081,CN2502140-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8085,CN2502144-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8126,CN2502183-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8127,CN2502183-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8128,CN2502183-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8129,CN2502183-S4,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8130,CN2502183-S5,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8181,CN2502225-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8235,CN2502275-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8252,CN2502289-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8279,CN2502305-S,40'HQ/45'HQ,2.0,4,"40HQ,45HQ","[('40HQ', 2), ('45HQ', 0)]",exact
8283,CN2502309-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8284,CN2502309-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8285,CN2502309-S3,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8288,CN2502312-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8299,CN2502323-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8343,CN2502364-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8358,CN2502378-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8399,CN2502417-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
8403,CN2502421-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8433,CN2502449-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8479,CN2502488-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
8484,CN2503001-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
8535,CN2503050-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8553,CN2503068-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8578,CN2503091-S,20GP/40'GP/40'HQ,3.0,5,"40GP,40HQ","[('40GP', 2), ('40HQ', 1)]",equal
8586,CN2503099-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8587,CN2503100-S,20'GP/40'NOR,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
8616,CN2503128-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8619,CN2503131-S,40'NOR/40'HC,2.0,4,"40GP,40HC","[('40GP', 1), ('40HC', 1)]",equal
8630,CN2503142-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8631,CN2503143-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8673,CN2503185-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8674,CN2503185-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8675,CN2503185-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8676,CN2503185-S4,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8694,CN2503203-S,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
8702,CN2503211-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8703,CN2503211-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8716,CN2503224-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8723,CN2503231-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8730,CN2503238-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8731,CN2503238-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8732,CN2503238-S3,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8747,CN2503253-S,20'GP/40'HQ,9.0,17,"20GP,40HQ","[('20GP', 1), ('40HQ', 8)]",exact
8791,CN2503294-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8800,CN2503301-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8831,CN2503331-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8861,CN2503361-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
8902,CN2503401-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
8918,CN2503417-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9030,CN2503522-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
9049,CN2503541-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9090,CN2503578-S,20'GP+40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9096,CN2503583-S,40'HQ/20'GP,14.0,26,"40HQ,20GP","[('40HQ', 12), ('20GP', 2)]",exact
9170,CN2503653-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9195,CN2503676-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
9219,CN2504015-AS,20'GP/40'GP/40'JQ,15~20,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
9239,CN2504035-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
9307,CN2504100-S,40'HQ/20'GP,6.0,11,"40HQ,20GP","[('40HQ', 5), ('20GP', 1)]",exact
9335,CN2504127-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9381,CN2504169-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
9413,CN2504200-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9460,CN2504247-S,20'GP+40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9464,CN2504251-S,20'GP+40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9469,CN2504256-S,40'HQ/40OOG,,,"40HQ,40OOG","[('40HQ', 1), ('40OOG', 1)]",fallback
9496,CN2504283-S,20'GP+40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9508,CN2504295-S,20'GP+40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
9510,CN2504297-S,20GP+40GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
9520,CN2504307-S,20GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9529,CN2504316-S,20'GP/40'HQ,8.0,12,"20GP,40HQ","[('20GP', 4), ('40HQ', 4)]",exact
9601,CN2504388-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9666,CN2504450-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9667,CN2504450-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9670,CN2504453-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9697,CN2504480-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9713,CN2504496-S,20'GP+40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
9722,CN2504505-S,20'GP+40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9732,CN2504514-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9745,CN2504527-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9752,CN2504534-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9787,CN2504569-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9811,CN2504593-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9829,CN2504611-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9830,CN2504612-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9867,CN2505010-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
9869,CN2505012-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
9880,CN2505023-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9883,CN2505026-S,20'GP/40'OT,4.0,7,"20GP,40OT","[('20GP', 1), ('40OT', 3)]",exact
9909,CN2505052-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9911,CN2505054-S,20'GP/40'HQ,5.0,9,"20GP,40HQ","[('20GP', 1), ('40HQ', 4)]",exact
9913,CN2505056-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
9929,CN2505072-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
9930,CN2505073-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9979,CN2505122-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9984,CN2505127-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9987,CN2505129-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
9990,CN2505132-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
9997,CN2505139-S,20'GP/40'HQ/40'OT,3.0,5,"20GP,40HQ,40OT","[('20GP', 1), ('40HQ', 0), ('40OT', 2)]",exact
10006,CN2505148-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10043,CN2505185-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10054,CN2505196-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
10083,CN2505223-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
10092,CN2505232-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10136,CN2505273-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10140,CN2505277-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10153,CN2505290-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10189,CN2505326-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
10191,CN2505328-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
10230,CN2505366-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10245,CN2505380-S,40'HQ/40'OT,6.0,12,"40HQ,40OT","[('40HQ', 3), ('40OT', 3)]",equal
10275,CN2505410-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
10305,CN2505437-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10366,CN2505498-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10369,CN2505501-S,20'GP/40'HQ,6.0,10,"20GP,40HQ","[('20GP', 2), ('40HQ', 4)]",exact
10377,CN2505508-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10384,CN2505515-S,20'GP/40'HQ,1.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 0)]",equal
10390,CN2505521-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10392,CN2505523-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
10395,CN2505526-S,20'GP/40'HQ,1.0,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10398,CN2505529-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
10403,CN2505534-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
10425,CN2505555-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10428,CN2505558-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10431,CN2505561-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10432,CN2505562-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10542,CN2506037-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10593,CN2506086-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10594,CN2506087-S,40'HQ/40'OT,2.0,4,"40HQ,40OT","[('40HQ', 1), ('40OT', 1)]",equal
10744,CN2506230-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10747,CN2506233-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10748,CN2506234-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10816,CN2506302-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
10890,CN2506369-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10935,CN2506412-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
10964,CN2506439-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11061,CN2506534-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11065,CN2506538-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11077,CN2506550-S,20'GP/40'HQ,5.0,8,"20GP,40HQ","[('20GP', 2), ('40HQ', 3)]",exact
11085,CN2506557-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11102,CN2506573-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11116,CN2506586-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11127,CN2506597-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11202,CN2507012-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11213,CN2507022-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
11214,CN2507023-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11233,CN2507042-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11241,CN2507050-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11256,CN2507064-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
11267,CN2507075-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
11292,CN2507100-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
