row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
2821,CN2405221-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2822,CN2405221-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2863,CN2405259-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
2883,CN2405279-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
2977,CN2405472-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2978,CN2405472-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2979,CN2405472-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2980,CN2405472-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2981,CN2405472-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2991,CN2405482-S1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2992,CN2405482-S2,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2993,CN2405482-S3,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2994,CN2405482-S4,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3001,CN2405489-S,20'OT/40'OT,3.0,4,"20OT,40OT","[('20OT', 2), ('40OT', 1)]",exact
3040,CN2405527-S,20'GP/40'HQ,4.0,7,"20GP,40HQ","[('20GP', 1), ('40HQ', 3)]",exact
3051,CN2405537-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3053,CN2405539-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3072,CN2405557-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3108,CN2405590-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3116,CN2405597-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3118,CN2405599-S,40'GP/40'HQ,3.0,6,"40GP,40HQ","[('40GP', 2), ('40HQ', 1)]",equal
3125,CN2405606-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3126,CN2405607-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3127,CN2405607-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3128,CN2405607-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3190,CN2405667-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3191,CN2405667-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3192,CN2405667-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3193,CN2405667-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3194,CN2405667-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3195,CN2405667-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3258,CN2405730-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
3316,CN2406036-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
